"","age","sex","marital_status","race","edu","wage"
"161825",37,1,0,1,15,10.1850886734219
"564068",59,2,0,1,20,8.49801037199946
"229798",33,1,0,2,12,6.91274282049318
"432038",30,2,0,1,15,5.16478597392351
"280956",40,1,0,2,10,8.70034773451408
"173571",47,1,0,1,8,11.0349703059369
"223654",41,2,0,2,5,6.40522845803084
"334885",41,1,0,1,18,10.4468287679788
"308648",32,1,0,1,16,9.21084024701783
"308753",32,2,0,1,18,9.49589518341179
"400626",49,1,0,2,17,4.31748811353631
"549769",55,2,0,1,12,9.64891783153455
"516342",30,1,0,1,20,9.73595608121481
"403344",44,1,0,1,11,9.68812614166397
"357142",31,1,0,1,16,8.98782162543081
"273172",60,1,0,1,7,8.51819269174932
"436941",32,2,0,1,13,8.51819269174932
"548356",41,1,0,1,12,9.71625395138115
"514040",31,1,0,1,12,9.82579624482026
"485569",60,2,0,1,20,8.47949132423223
"340788",37,1,0,1,12,9.26530193005016
"56408",41,2,0,2,10,8.65782432115598
"523637",52,2,0,1,12,9.64114828775614
"198184",31,1,0,1,13,9.21084024701783
"67748",37,1,0,1,8,10.2970487561415
"358072",44,2,0,1,11,8.53405030848266
"573016",34,1,0,1,10,9.92842403782616
"475764",59,1,0,1,12,10.1332094192105
"108745",30,2,0,1,12,9.52039529527969
"168754",30,1,0,1,16,9.75062770589179
"525591",36,1,0,1,12,9.33034316437088
"405042",31,2,0,1,16,9.86811940869834
"432664",34,2,0,1,18,9.64244741103077
"163514",32,2,0,2,12,9.58980367754535
"162473",47,2,0,1,12,9.65982236550112
"379419",37,1,0,1,20,8.34402957240705
"75796",42,1,0,1,5,9.08760760659389
"270879",35,2,0,1,12,9.43787427159169
"448014",39,2,0,1,18,9.36263218231844
"265970",40,2,0,1,12,9.68065645240396
"242411",51,2,0,1,12,9.39307850865535
"527055",38,2,0,1,18,9.65534665470488
"133990",41,1,0,2,8,8.51016857647927
"499618",32,1,0,1,19,10.1737055112363
"138532",42,2,0,1,16,8.88253050843362
"458089",32,2,0,2,10,7.09423484592476
"234376",30,1,0,2,14,8.85437945877111
"220968",32,2,0,2,7,8.85437945877111
"196804",35,1,0,1,14,7.67089483136212
"426354",30,1,0,1,19,9.7412626974413
"494028",41,1,0,1,12,9.29880901996379
"77524",46,2,0,1,13,8.92332474406756
"243379",50,2,0,2,12,8.65259782842244
"440228",30,1,0,1,17,8.09712193091871
"398371",60,2,0,1,7,8.70034773451408
"476505",49,1,0,2,5,9.21084024701783
"163788",55,1,0,1,11,7.69848278788095
"367516",43,1,0,1,12,9.39307850865535
"18281",31,2,0,1,15,9.83118564078072
"386691",37,2,0,1,12,9.70351106050345
